numero,proyecto,fecha,estado,titulo,autores
14782,14782/2025-CR,2026-06-11,EN COMISIÓN,"PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL LA CREACIÓN DEL DISTRITO DE SANTA CATALINA, UBICADO EN LA PROVINCIA DE SAN ROMÁN, DEPARTAMENTO DE PUNO","Bellido Ugarte, Guido; Arriola Tueros, José Alberto; Laura Rojas, Judith; Tello Montes, Nivardo Edgar; Juárez Calle, Heidy Lisbeth; Espinoza Vargas, Jhaec Darwin"
14783,14783/2025-CR,2026-06-11,EN COMISIÓN,"PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL LA CREACIÓN DEL DISTRITO DE ANTAPIRCA, UBICADO EN LA PROVINCIA DE DANIEL ALCIDES CARRIÓN, DEPARTAMENTO DE PASCO","Bellido Ugarte, Guido; Arriola Tueros, José Alberto; Laura Rojas, Judith; Tello Montes, Nivardo Edgar; Juárez Calle, Heidy Lisbeth; Espinoza Vargas, Jhaec Darwin"
14784,14784/2025-CR,2026-06-11,EN COMISIÓN,"PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL LA CREACIÓN DEL DISTRITO DE TACALA, UBICADO EN LA PROVINCIA Y DEPARTAMENTO DE PIURA","Bellido Ugarte, Guido; Arriola Tueros, José Alberto; Laura Rojas, Judith; Tello Montes, Nivardo Edgar; Juárez Calle, Heidy Lisbeth; Espinoza Vargas, Jhaec Darwin"
14785,14785/2025-CR,2026-06-11,EN COMISIÓN,"PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL LA CREACIÓN DEL DISTRITO DE SAN ANTONIO DE PAVITA, UBICADO EN LA PROVINCIA DE CHUCUITO, DEPARTAMENTO DE PUNO","Bellido Ugarte, Guido; Arriola Tueros, José Alberto; Laura Rojas, Judith; Tello Montes, Nivardo Edgar; Juárez Calle, Heidy Lisbeth; Espinoza Vargas, Jhaec Darwin"
14786,14786/2025-CR,2026-06-11,EN COMISIÓN,"PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL LA CREACIÓN DEL DISTRITO DE QUELLO QUELLO, UBICADO EN LA PROVINCIA DE CALCA Y DEPARTAMENTO DE CUSCO","Bellido Ugarte, Guido; Tello Montes, Nivardo Edgar; Arriola Tueros, José Alberto; Laura Rojas, Judith; Espinoza Vargas, Jhaec Darwin; Juárez Calle, Heidy Lisbeth"
14787,14787/2025-CR,2026-06-11,EN COMISIÓN,"PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL LA CREACIÓN DEL DISTRITO DE MAYRO, UBICADO EN LA PROVINCIA DE OXAPAMPA Y DEPARTAMENTO DE PASCO","Bellido Ugarte, Guido; Tello Montes, Nivardo Edgar; Arriola Tueros, José Alberto; Laura Rojas, Judith; Juárez Calle, Heidy Lisbeth; Espinoza Vargas, Jhaec Darwin"
14788,14788/2025-CR,2026-06-11,EN COMISIÓN,"PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL LA CREACIÓN DEL DISTRITO DE VALLE SOL, UBICADO EN LA PROVINCIA DE TRUJILLO, DEPARTAMENTO DE LA LIBERTAD","Bellido Ugarte, Guido; Tello Montes, Nivardo Edgar; Arriola Tueros, José Alberto; Laura Rojas, Judith; Juárez Calle, Heidy Lisbeth; Espinoza Vargas, Jhaec Darwin"
14789,14789/2025-CR,2026-06-11,EN COMISIÓN,"PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL LA CREACIÓN DEL DISTRITO DE TANGOR, UBICADO EN LA PROVINCIA DE DANIEL ALCIDES CARRIÓN, DEPARTAMENTO DE PASCO","Bellido Ugarte, Guido; Tello Montes, Nivardo Edgar; Arriola Tueros, José Alberto; Laura Rojas, Judith; Juárez Calle, Heidy Lisbeth; Espinoza Vargas, Jhaec Darwin"
14790,14790/2025-CR,2026-06-11,EN COMISIÓN,"PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL LA CREACIÓN DEL DISTRITO DE QUIPARACRA, UBICADO EN LA PROVINCIA Y DEPARTAMENTO DE PASCO","Bellido Ugarte, Guido; Tello Montes, Nivardo Edgar; Arriola Tueros, José Alberto; Laura Rojas, Judith; Juárez Calle, Heidy Lisbeth; Espinoza Vargas, Jhaec Darwin"
14791,14791/2025-CR,2026-06-11,EN COMISIÓN,"PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL LA CREACIÓN DEL DISTRITO DE QARHUAPAMPA, UBICADO EN LA PROVINCIA DE LA MAR, DEPARTAMENTO DE AYACUCHO ","Bellido Ugarte, Guido; Tello Montes, Nivardo Edgar; Arriola Tueros, José Alberto; Laura Rojas, Judith; Juárez Calle, Heidy Lisbeth; Espinoza Vargas, Jhaec Darwin"
14792,14792/2025-CR,2026-06-11,EN COMISIÓN,"PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL LA CREACIÓN DEL DISTRITO DE YANAPATA, UBICADO EN LA PROVINCIA DE YUNGUYO Y DEPARTAMENTO DE PUNO","Bellido Ugarte, Guido; Arriola Tueros, José Alberto; Laura Rojas, Judith; Juárez Calle, Heidy Lisbeth; Tello Montes, Nivardo Edgar; Espinoza Vargas, Jhaec Darwin"
14793,14793/2025-CR,2026-06-11,EN COMISIÓN,"PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA EL PROYECTO DE MEJORAMIENTO Y CONSTRUCCIÓN DE LA CARRETERA ASFALTADA DOBLE VÍA CU-105 CALCA-YANATILE, EN EL DEPARTAMENTO DE CUSCO","Bellido Ugarte, Guido; Arriola Tueros, José Alberto; Tello Montes, Nivardo Edgar; Espinoza Vargas, Jhaec Darwin; Juárez Calle, Heidy Lisbeth; Laura Rojas, Judith"
